,,,,,,,ALL APPLICANTS,,,,,SIBLING APPLICANTS,,,,,"Elementary School Attendance Area APPLICANTS
Only relevant for elementary school grades (TK-5)",,,,,"Middle School Feeder APPLICANTS
Only relevant for 6th grade applicants",,,,,CTIP1 APPLICANTS (LOW TEST SCORE AREA TIEBREAKER),,,,,APPLICANTS WITH NO TIEBREAKERS,,,,
,Roosevelt MS8CN,797,Roosevelt MS,8,CN,Cantonese Immersion (Cantonese Speakers),1,1,67%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,0,50%
,Roosevelt MS6GE,797,Roosevelt MS,6,GE,General Education,1112,156,14%,818,74%,31,23,76%,31,100%,0,0,-,0,-,209,152,73%,195,93%,137,16,12%,101,74%,781,0,0%,537,69%
,Roosevelt MS7GE,797,Roosevelt MS,7,GE,General Education,44,3,7%,9,21%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,3,1,45%,2,82%,41,2,5%,7,17%
,Roosevelt MS8GE,797,Roosevelt MS,8,GE,General Education,24,1,5%,7,27%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,13%,1,38%,22,1,4%,6,26%
,Roosevelt MS6MM,797,Roosevelt MS,6,MM,SDC - Mild to Moderate,15,4,24%,8,57%,0,0,100%,0,100%,0,0,-,0,-,5,3,68%,4,79%,4,1,27%,3,67%,7,0,0%,3,42%
,Roosevelt MS7MM,797,Roosevelt MS,7,MM,SDC - Mild to Moderate,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,0%,0,100%
,Roosevelt MS8MM,797,Roosevelt MS,8,MM,SDC - Mild to Moderate,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Roosevelt MS6SA,797,Roosevelt MS,6,SA,SDC - Extensive Support w Autism Focus,7,3,37%,6,89%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,3,2,60%,3,100%,4,1,19%,3,81%
,Roosevelt MS7SA,797,Roosevelt MS,7,SA,SDC - Extensive Support w Autism Focus,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Roosevelt MS8SA,797,Roosevelt MS,8,SA,SDC - Extensive Support w Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
New for 26-27,San Miguel EESTKGE488,987,San Miguel EES,TK,GE488,Sloat (Commodore) ES TK Feeder - General Education,78,23,29%,51,65%,6,6,100%,6,100%,10,8,80%,10,100%,0,0,-,0,-,1,1,100%,1,100%,54,5,9%,27,50%
New for 26-27,San Miguel EESTKGE842,987,San Miguel EES,TK,GE842,Sunnyside ES TK Feeder - General Education,91,23,25%,57,63%,7,6,86%,7,100%,23,14,61%,19,83%,0,0,-,0,-,1,1,100%,1,100%,56,0,0%,26,46%
,Sanchez ESTKGE,816,Sanchez ES,TK,GE,General Education,87,28,32%,84,96%,3,3,100%,3,100%,8,3,43%,8,100%,0,0,-,0,-,18,3,17%,18,100%,63,21,33%,60,95%
,Sanchez ESKGE,816,Sanchez ES,K,GE,General Education,78,16,21%,78,100%,7,3,48%,7,100%,10,3,34%,10,100%,0,0,-,0,-,19,3,16%,19,100%,49,9,18%,49,99%
,Sanchez ES1GE,816,Sanchez ES,1,GE,General Education,6,2,32%,6,100%,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-,1,0,25%,1,100%,4,2,38%,4,100%
,Sanchez ES2GE,816,Sanchez ES,2,GE,General Education,2,1,44%,2,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,1,0,0%,1,100%,2,1,67%,2,100%
,Sanchez ES3GE,816,Sanchez ES,3,GE,General Education,4,2,47%,4,93%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,67%,1,100%,3,1,42%,3,92%
,Sanchez ES4GE,816,Sanchez ES,4,GE,General Education,3,1,31%,3,92%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,1,0,50%,1,100%,3,1,30%,2,90%
,Sanchez ES5GE,816,Sanchez ES,5,GE,General Education,2,0,17%,1,83%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,67%,1,0,33%,1,100%
,Sanchez ESKMM,816,Sanchez ES,K,MM,SDC - Mild to Moderate,8,1,16%,6,77%,0,0,-,0,-,1,0,50%,1,100%,0,0,-,0,-,3,0,9%,2,82%,5,1,21%,4,74%
,Sanchez ES1MM,816,Sanchez ES,1,MM,SDC - Mild to Moderate,1,0,33%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,100%
,Sanchez ES2MM,816,Sanchez ES,2,MM,SDC - Mild to Moderate,1,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%
,Sanchez ES3MM,816,Sanchez ES,3,MM,SDC - Mild to Moderate,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%
,Sanchez ES4MM,816,Sanchez ES,4,MM,SDC - Mild to Moderate,1,1,67%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,1,0,50%,1,100%
,Sanchez ES5MM,816,Sanchez ES,5,MM,SDC - Mild to Moderate,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,Sanchez ESKSB,816,Sanchez ES,K,SB,Spanish Biliteracy,33,8,23%,33,100%,3,2,75%,3,100%,0,0,-,0,-,0,0,-,0,-,15,2,14%,15,100%,15,4,25%,15,100%
,Sanchez ES1SB,816,Sanchez ES,1,SB,Spanish Biliteracy,2,1,56%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,100%,1,1,67%,1,100%
,Sanchez ES2SB,816,Sanchez ES,2,SB,Spanish Biliteracy,3,0,9%,2,82%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,1,0,0%,0,50%
,Sanchez ES3SB,816,Sanchez ES,3,SB,Spanish Biliteracy,4,1,20%,3,87%,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,2,0,13%,2,88%,0,0,100%,0,100%
,Sanchez ES4SB,816,Sanchez ES,4,SB,Spanish Biliteracy,5,0,5%,4,74%,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,2,0,0%,2,86%,1,0,50%,1,100%
,Sanchez ES5SB,816,Sanchez ES,5,SB,Spanish Biliteracy,2,1,33%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,100%,0,0,-,0,-
New for 26-27,Serra (Junipero) Annex EESTKGE575,955,Serra (Junipero) Annex EES,TK,GE575,Glen Park ES TK Feeder - General Education,100,24,24%,81,81%,7,6,86%,7,100%,16,10,63%,16,100%,0,0,-,0,-,11,0,0%,11,100%,67,11,16%,48,72%
New for 26-27,Serra (Junipero) Annex EESTKGE729,955,Serra (Junipero) Annex EES,TK,GE729,Monroe ES TK Feeder - General Education,67,26,39%,67,100%,0,0,-,0,-,7,3,43%,7,100%,0,0,-,0,-,4,0,0%,4,100%,51,21,41%,51,100%
Opened in 24-25,Serra (Junipero) ESTKGE,656,Serra (Junipero) ES,TK,GE,General Education,106,29,28%,96,90%,6,3,59%,6,100%,16,9,55%,16,100%,0,0,-,0,-,10,1,14%,10,100%,77,18,23%,67,87%
,Serra (Junipero) ESKGE,656,Serra (Junipero) ES,K,GE,General Education,103,17,16%,97,94%,6,4,77%,5,95%,17,7,42%,17,100%,0,0,-,0,-,13,2,12%,13,100%,70,6,8%,64,92%
,Serra (Junipero) ES1GE,656,Serra (Junipero) ES,1,GE,General Education,3,1,31%,3,92%,0,0,100%,0,100%,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,3,1,27%,3,91%
,Serra (Junipero) ES2GE,656,Serra (Junipero) ES,2,GE,General Education,4,3,59%,4,100%,1,0,50%,1,100%,1,0,50%,1,100%,0,0,-,0,-,1,0,0%,1,100%,3,2,73%,3,100%
,Serra (Junipero) ES3GE,656,Serra (Junipero) ES,3,GE,General Education,5,4,70%,5,95%,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-,0,0,100%,0,100%,4,3,63%,4,94%
,Serra (Junipero) ES4GE,656,Serra (Junipero) ES,4,GE,General Education,4,1,29%,3,93%,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-,1,0,0%,1,100%,2,1,44%,2,89%
,Serra (Junipero) ES5GE,656,Serra (Junipero) ES,5,GE,General Education,2,1,38%,2,88%,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,67%,1,1,60%,1,100%
,Serra (Junipero) ESKSB,656,Serra (Junipero) ES,K,SB,Spanish Biliteracy,30,11,38%,30,100%,2,2,89%,2,100%,0,0,-,0,-,0,0,-,0,-,7,3,34%,7,100%,20,8,38%,20,100%
,Serra (Junipero) ES1SB,656,Serra (Junipero) ES,1,SB,Spanish Biliteracy,1,1,60%,1,80%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,1,100%,1,100%
,Serra (Junipero) ES2SB,656,Serra (Junipero) ES,2,SB,Spanish Biliteracy,2,1,29%,1,71%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-
,Serra (Junipero) ES3SB,656,Serra (Junipero) ES,3,SB,Spanish Biliteracy,1,0,0%,1,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Serra (Junipero) ES4SB,656,Serra (Junipero) ES,4,SB,Spanish Biliteracy,2,1,33%,2,78%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,67%
,Serra (Junipero) ES5SB,656,Serra (Junipero) ES,5,SB,Spanish Biliteracy,1,0,0%,1,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
Opened in 25-26,SF Community K-8TKGE,493,SF Community K-8,TK,GE,General Education,86,31,35%,77,90%,5,5,90%,5,100%,0,0,-,0,-,0,0,-,0,-,4,1,25%,4,100%,77,25,32%,68,88%
,SF Community K-8KGE,493,SF Community K-8,K,GE,General Education,123,31,25%,118,96%,7,6,92%,7,100%,0,0,-,0,-,0,0,-,0,-,12,2,15%,12,100%,106,24,23%,101,95%
,SF Community K-81GE,493,SF Community K-8,1,GE,General Education,9,4,47%,9,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,40%,1,100%,7,4,48%,7,100%
,SF Community K-82GE,493,SF Community K-8,2,GE,General Education,8,4,52%,7,94%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%,7,4,52%,7,93%
,SF Community K-83GE,493,SF Community K-8,3,GE,General Education,10,5,46%,8,80%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,20%,1,100%,9,5,50%,7,78%
,SF Community K-84GE,493,SF Community K-8,4,GE,General Education,5,1,28%,4,89%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,3,1,38%,3,92%
,SF Community K-85GE,493,SF Community K-8,5,GE,General Education,7,2,26%,4,59%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,14%,1,71%,5,2,30%,3,55%
,SF Community K-86GE,493,SF Community K-8,6,GE,General Education,144,14,10%,125,86%,2,0,17%,2,100%,0,0,-,0,-,3,0,0%,3,100%,27,4,16%,26,95%,114,9,8%,96,84%
,SF Community K-87GE,493,SF Community K-8,7,GE,General Education,12,7,55%,10,87%,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,2,1,67%,2,100%,10,6,56%,8,85%
,SF Community K-88GE,493,SF Community K-8,8,GE,General Education,5,2,43%,5,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,5,2,44%,5,100%
,SF International HS13CA,621,SF International HS,13,CA,SDC - Transition Program (CAT),6,2,32%,4,77%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,67%,1,100%,5,1,26%,4,74%
,SF International HS9GX,621,SF International HS,9,GX,General Education Newcomer,10,4,39%,10,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,5,2,45%,5,100%,5,2,30%,5,100%
,SF International HS10GX,621,SF International HS,10,GX,General Education Newcomer,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,SF International HS11GX,621,SF International HS,11,GX,General Education Newcomer,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-
,SF International HS12GX,621,SF International HS,12,GX,General Education Newcomer,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%
,SF International HS9MM,621,SF International HS,9,MM,SDC - Mild to Moderate,1,0,25%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,100%,0,0,0%,0,100%
,SF International HS9NC,621,SF International HS,9,NC,Chinese Newcomer,2,1,22%,2,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,2,0,17%,2,100%
,SF International HS10NC,621,SF International HS,10,NC,Chinese Newcomer,1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%
,SF International HS11NC,621,SF International HS,11,NC,Chinese Newcomer,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,SF International HS12NC,621,SF International HS,12,NC,Chinese Newcomer,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,SF International HS9NS,621,SF International HS,9,NS,Spanish Newcomer,11,3,22%,11,100%,2,1,33%,2,100%,0,0,-,0,-,0,0,-,0,-,5,1,15%,5,100%,5,1,19%,5,100%
,SF International HS10NS,621,SF International HS,10,NS,Spanish Newcomer,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,SF International HS11NS,621,SF International HS,11,NS,Spanish Newcomer,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,SF International HS12NS,621,SF International HS,12,NS,Spanish Newcomer,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,0%,0,100%
,SF International HS9NX,621,SF International HS,9,NX,Newcomer Program,25,10,38%,25,100%,4,3,80%,4,100%,0,0,-,0,-,0,0,-,0,-,11,4,36%,11,100%,2,1,50%,2,100%
,SF International HS10NX,621,SF International HS,10,NX,Newcomer Program,4,0,7%,4,93%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,17%,2,100%,2,0,0%,2,100%
,SF International HS11NX,621,SF International HS,11,NX,Newcomer Program,3,1,40%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,25%,1,100%,1,1,40%,1,100%
,SF International HS12NX,621,SF International HS,12,NX,Newcomer Program,1,1,40%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%,1,0,33%,1,100%
Opened in 25-26,SF Public Montessori ESTKGE,814,SF Public Montessori ES,TK,GE,General Education,137,29,21%,99,73%,4,4,100%,4,100%,0,0,-,0,-,0,0,-,0,-,17,5,29%,17,100%,103,11,11%,65,63%
,SF Public Montessori ESKGE,814,SF Public Montessori ES,K,GE,General Education,196,23,12%,162,83%,4,3,86%,4,100%,0,0,-,0,-,0,0,-,0,-,20,3,15%,20,100%,166,13,8%,132,79%
,SF Public Montessori ES1GE,814,SF Public Montessori ES,1,GE,General Education,17,6,32%,15,87%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,33%,2,100%,16,5,32%,13,85%
,SF Public Montessori ES2GE,814,SF Public Montessori ES,2,GE,General Education,9,2,24%,8,84%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,17%,2,100%,8,2,26%,6,81%
,SF Public Montessori ES3GE,814,SF Public Montessori ES,3,GE,General Education,8,2,20%,5,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,75%,7,1,15%,4,65%
,SF Public Montessori ES4GE,814,SF Public Montessori ES,4,GE,General Education,5,2,33%,5,90%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,75%,4,2,41%,4,94%
,SF Public Montessori ES5GE,814,SF Public Montessori ES,5,GE,General Education,4,1,29%,3,71%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,0,33%,4,1,29%,3,79%
,Sheridan ESTKGE,820,Sheridan ES,TK,GE,General Education,68,26,38%,60,89%,5,5,100%,5,100%,7,5,78%,7,100%,0,0,-,0,-,6,1,18%,6,100%,52,16,30%,44,86%
,Sheridan ESKGE,820,Sheridan ES,K,GE,General Education,91,37,41%,91,100%,5,4,94%,5,100%,13,7,52%,13,100%,0,0,-,0,-,6,1,13%,6,100%,70,28,39%,70,100%
,Sheridan ES1GE,820,Sheridan ES,1,GE,General Education,4,2,53%,4,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,4,2,53%,4,100%
,Sheridan ES2GE,820,Sheridan ES,2,GE,General Education,2,1,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%,1,1,50%,1,100%
,Sheridan ES3GE,820,Sheridan ES,3,GE,General Education,4,3,71%,3,93%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,3,2,69%,3,92%
,Sheridan ES4GE,820,Sheridan ES,4,GE,General Education,2,1,57%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%,1,1,40%,1,100%
,Sheridan ES5GE,820,Sheridan ES,5,GE,General Education,1,0,25%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,1,0,0%,1,100%
New for 26-27,Sherman ESTKAF,823,Sherman ES,TK,AF,SDC – Mild/Mod Autism Focus,14,4,29%,14,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,7,2,29%,7,100%,7,2,29%,7,100%
,Sherman ESKAF,823,Sherman ES,K,AF,SDC – Mild/Mod Autism Focus,10,1,5%,7,69%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,3,0,9%,2,82%,7,0,4%,5,67%
,Sherman ES1AF,823,Sherman ES,1,AF,SDC – Mild/Mod Autism Focus,2,0,13%,1,25%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%,2,0,17%,1,33%
,Sherman ES2AF,823,Sherman ES,2,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Sherman ES3AF,823,Sherman ES,3,AF,SDC – Mild/Mod Autism Focus,0,0,0%,0,0%,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Sherman ES4AF,823,Sherman ES,4,AF,SDC – Mild/Mod Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Sherman ES5AF,823,Sherman ES,5,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
Opened in 25-26,Sherman ESTKGE,823,Sherman ES,TK,GE,General Education,98,26,26%,86,87%,15,12,83%,15,100%,25,11,42%,25,100%,0,0,-,0,-,9,2,17%,9,100%,59,9,14%,47,79%
,Sherman ESKGE,823,Sherman ES,K,GE,General Education,212,49,23%,173,82%,12,11,89%,12,100%,47,33,69%,46,96%,0,0,-,0,-,15,3,21%,15,100%,146,9,6%,109,75%
,Sherman ES1GE,823,Sherman ES,1,GE,General Education,13,5,34%,12,87%,0,0,-,0,-,3,2,55%,2,82%,0,0,-,0,-,1,0,25%,1,100%,10,3,29%,8,87%
,Sherman ES2GE,823,Sherman ES,2,GE,General Education,6,3,50%,5,95%,0,0,-,0,-,1,1,40%,1,80%,0,0,-,0,-,0,0,100%,0,100%,4,2,53%,4,100%
,Sherman ES3GE,823,Sherman ES,3,GE,General Education,9,2,26%,5,59%,0,0,-,0,-,1,1,40%,1,60%,0,0,-,0,-,1,0,0%,0,50%,7,2,26%,4,59%
,Sherman ES4GE,823,Sherman ES,4,GE,General Education,6,4,60%,6,96%,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-,1,1,75%,1,100%,5,3,53%,5,95%
,Sherman ES5GE,823,Sherman ES,5,GE,General Education,6,4,61%,5,87%,0,0,-,0,-,1,1,75%,1,75%,0,0,-,0,-,1,1,100%,1,100%,4,2,53%,4,88%
,Sloat (Commodore) ESKGE,488,Sloat (Commodore) ES,K,GE,General Education,433,70,16%,369,85%,20,18,94%,19,99%,47,33,70%,47,100%,0,0,-,0,-,12,1,8%,12,100%,363,26,7%,299,82%
,Sloat (Commodore) ES1GE,488,Sloat (Commodore) ES,1,GE,General Education,24,8,31%,20,82%,0,0,-,0,-,3,2,70%,2,80%,0,0,-,0,-,1,0,0%,1,100%,21,6,28%,17,82%
,Sloat (Commodore) ES2GE,488,Sloat (Commodore) ES,2,GE,General Education,17,7,40%,12,72%,0,0,-,0,-,2,0,17%,1,33%,0,0,-,0,-,1,0,25%,1,75%,14,6,44%,11,75%
,Sloat (Commodore) ES3GE,488,Sloat (Commodore) ES,3,GE,General Education,12,3,23%,7,62%,0,0,-,0,-,1,1,50%,1,50%,0,0,-,0,-,1,0,0%,0,50%,10,2,22%,7,63%
,Sloat (Commodore) ES4GE,488,Sloat (Commodore) ES,4,GE,General Education,18,6,31%,13,73%,0,0,-,0,-,2,2,88%,2,88%,0,0,-,0,-,2,0,0%,2,100%,14,4,27%,10,68%
,Sloat (Commodore) ES5GE,488,Sloat (Commodore) ES,5,GE,General Education,9,3,36%,7,75%,0,0,-,0,-,1,1,75%,1,100%,0,0,-,0,-,0,0,100%,0,100%,8,2,29%,6,71%
,Spring Valley Science ES4CB,834,Spring Valley Science ES,4,CB,Cantonese Biliteracy,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,0,0%,1,100%
Opened in 24-25,Spring Valley Science ESTKGE,834,Spring Valley Science ES,TK,GE,General Education,81,43,53%,81,100%,2,1,80%,2,100%,3,1,30%,3,100%,0,0,-,0,-,6,3,47%,6,100%,72,39,54%,72,100%
,Spring Valley Science ESKGE,834,Spring Valley Science ES,K,GE,General Education,89,24,27%,89,99%,3,3,83%,3,100%,6,4,56%,6,100%,0,0,-,0,-,13,2,18%,13,100%,69,17,25%,68,99%
,Spring Valley Science ES1GE,834,Spring Valley Science ES,1,GE,General Education,4,1,19%,4,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,1,0,0%,1,100%,3,1,23%,3,100%
,Spring Valley Science ES2GE,834,Spring Valley Science ES,2,GE,General Education,3,2,62%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%,3,2,55%,3,100%
,Spring Valley Science ES3GE,834,Spring Valley Science ES,3,GE,General Education,2,1,25%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,25%,2,100%
,Spring Valley Science ES4GE,834,Spring Valley Science ES,4,GE,General Education,3,0,9%,3,91%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,1,0,33%,1,100%,2,0,0%,2,86%
,Spring Valley Science ES5GE,834,Spring Valley Science ES,5,GE,General Education,2,1,33%,1,83%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,33%,1,83%
Opened in 25-26,Spring Valley Science ESTKMM,834,Spring Valley Science ES,TK,MM,SDC - Mild to Moderate,3,2,50%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%,2,1,25%,2,100%
,Spring Valley Science ESKMM,834,Spring Valley Science ES,K,MM,SDC - Mild to Moderate,7,4,54%,6,96%,0,0,100%,0,100%,0,0,100%,0,100%,0,0,-,0,-,1,1,50%,1,100%,5,3,50%,5,95%
,Spring Valley Science ES1MM,834,Spring Valley Science ES,1,MM,SDC - Mild to Moderate,1,1,67%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,67%,1,67%
,Spring Valley Science ES2MM,834,Spring Valley Science ES,2,MM,SDC - Mild to Moderate,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,Spring Valley Science ES3MM,834,Spring Valley Science ES,3,MM,SDC - Mild to Moderate,1,0,33%,0,33%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,0,33%
Opened in 24-25,Spring Valley Science ES4MM,834,Spring Valley Science ES,4,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
Opened in 24-25,Spring Valley Science ES5MM,834,Spring Valley Science ES,5,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Spring Valley Science ES4SB,834,Spring Valley Science ES,4,SB,Spanish Biliteracy,1,0,0%,0,25%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%,0,0,-,0,-
,Spring Valley Science ES5SB,834,Spring Valley Science ES,5,SB,Spanish Biliteracy,1,0,0%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,50%,0,0,-,0,-
,Stevenson (Robert Louis) ESTKGE,782,Stevenson (Robert Louis) ES,TK,GE,General Education,317,23,7%,123,39%,17,16,96%,17,100%,40,11,28%,17,41%,0,0,-,0,-,11,2,16%,11,100%,258,3,1%,88,34%
,Stevenson (Robert Louis) ESKGE,782,Stevenson (Robert Louis) ES,K,GE,General Education,490,59,12%,394,80%,19,18,97%,19,100%,79,49,62%,74,95%,0,0,-,0,-,11,2,14%,11,100%,395,3,1%,303,77%
,Stevenson (Robert Louis) ES1GE,782,Stevenson (Robert Louis) ES,1,GE,General Education,30,3,8%,12,42%,0,0,-,0,-,4,1,20%,1,33%,0,0,-,0,-,0,0,0%,0,100%,26,2,7%,11,42%
,Stevenson (Robert Louis) ES2GE,782,Stevenson (Robert Louis) ES,2,GE,General Education,22,2,8%,8,35%,0,0,-,0,-,2,1,25%,1,25%,0,0,-,0,-,1,0,0%,0,50%,20,1,6%,7,36%
,Stevenson (Robert Louis) ES3GE,782,Stevenson (Robert Louis) ES,3,GE,General Education,22,1,4%,7,31%,0,0,-,0,-,3,1,17%,1,25%,0,0,-,0,-,1,0,0%,1,100%,19,1,3%,6,31%
