"record_type","cds_code","district","school","status","open_date","charter_yesno","educational_program_type","entity_type","low_grade","high_grade","public_yesno","website","latitude","longitude","street_address","street_city","street_state","street_zip","phone","point","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"School","38,684,786,938,930","San Francisco Unified","Urban School of San Francisco","Active","1980/07/01 12:00:00 AM","false","No Data","High Schools (Private)","9","12","false","www.urbanschool.org","37.770967","-122.446249","1563 Page St.","San Francisco","CA","94117-2017","(415) 626-2919","POINT (-122.446249 37.770967)","Haight Ashbury","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,701","San Francisco Unified","Visitacion Valley Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.712680","-122.410365","55 Schwerin St.","San Francisco","CA","94134-2742","(415) 469-4796","POINT (-122.410365 37.71268)","Visitacion Valley","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,059,919","San Francisco Unified","Visitacion Valley Middle","Active","1980/07/01 12:00:00 AM","false","Traditional","Intermediate/Middle Schools (Public)","6","8","true","No Data","37.715632","-122.412417","1971 Visitacion Ave.","San Francisco","CA","94134-2700","(415) 469-4590","POINT (-122.412417 37.715632)","McLaren Park","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,830,205","San Francisco Unified","Wallenberg (Raoul) Traditional High","Active","1980/07/01 12:00:00 AM","false","Traditional","High Schools (Public)","9","12","true","No Data","37.780171","-122.445755","40 Vega St.","San Francisco","CA","94115-3826","(415) 749-3469","POINT (-122.445755 37.780171)","Lone Mountain/USF","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,839,081","San Francisco Unified","Washington (George) High","Active","1980/07/01 12:00:00 AM","false","Traditional","High Schools (Public)","9","12","true","No Data","37.777781","-122.492032","600 32nd Ave.","San Francisco","CA","94121-2733","(415) 750-8400","POINT (-122.492032 37.777781)","Outer Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,893","San Francisco Unified","Webster (Daniel) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.760489","-122.396236","465 Missouri St.","San Francisco","CA","94107-2826","(415) 695-5787","POINT (-122.396236 37.760489)","Potrero Hill","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,117,515","San Francisco Unified","Weill (Raphael) Children Center","Active","2008/06/01 12:00:00 AM","false","Traditional","Preschool","P","P","true","No Data","37.783512","-122.430134","1501 O'Farrell St.","San Francisco","CA","94115-3762","(415) 749-3548","POINT (-122.430134 37.783512)","Western Addition","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,830,031","San Francisco Unified","Wells (Ida B.) High","Active","1980/07/01 12:00:00 AM","false","Continuation School","Continuation High Schools","9","12","true","No Data","37.775392","-122.434461","1099 Hayes St.","San Francisco","CA","94117-1621","(415) 241-6315","POINT (-122.434461 37.775392)","Hayes Valley","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,203,384","San Francisco Unified","Wen Jian Ying","Active","2004/08/12 12:00:00 AM","false","No Data","Elementary School (Private)","K","12","false","No Data","37.728160","-122.447611","259 Judson Ave.","San Francisco","CA","94112-1848","(415) 586-6987","POINT (-122.447611 37.72816)","West of Twin Peaks","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,727","San Francisco Unified","West Portal Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.743572","-122.464683","5 Lenox Way","San Francisco","CA","94127-1111","(415) 759-2846","POINT (-122.464683 37.743572)","West of Twin Peaks","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,874","San Francisco Unified","West Portal Lutheran School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","https://www.wplsf.com/","37.735255","-122.473426","200 Sloat Blvd","San Francisco","CA","94132-1621","(415) 665-6330","POINT (-122.473426 37.735255)","West of Twin Peaks","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,131","San Francisco Unified","Yick Wo Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.801906","-122.416304","2245 Jones St.","San Francisco","CA","94133-2207","(415) 749-3540","POINT (-122.416304 37.801906)","Russian Hill","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,113,245","San Francisco Unified","Yu (Alice Fong) Elementary","Active","1995/09/05 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","8","true","No Data","37.759405","-122.469314","1541 12th Ave.","San Francisco","CA","94122-3503","(415) 759-2764","POINT (-122.469314 37.759405)","Inner Sunset","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,980,890","San Francisco Unified","Zion Lutheran School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.zionsfschool.org","37.779241","-122.467633","495 9th Ave.","San Francisco","CA","94118-2912","(415) 221-7500","POINT (-122.467633 37.779241)","Inner Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,171,813","San Francisco Unified","Andrews family home school","Active","2025/04/15 12:00:00 AM","false","No Data","K-12 Schools (Private)","K","12","false","No Data","Information Redacted","Information Redacted","Information Redacted","Information Redacted","Information Redacted","Information Redacted","Information Redacted",,,,"2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,170,609","San Francisco Unified","Sovereign Private School","Active","2024/09/26 12:00:00 AM","false","No Data","K-12 Schools (Private)","K","12","false","soveriegnprivate.school","Information Redacted","Information Redacted","Information Redacted","Information Redacted","Information Redacted","Information Redacted","Information Redacted",,,,"2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
